Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4
Lab,Emma Dent Coad,Kensington,Remain,69,For,For,For,For
Lab,Tanmanjeet Singh Dhesi,Slough,Leave,54,For,For,For,Abstain
Con,Caroline Dinenage,Gosport,Leave,62,Against,Against,Against,Against
Con,Jonathan Djanogly,Huntingdon,Leave,54,For,Against,For,Against
Con,Leo Docherty,Aldershot,Leave,58,Against,Against,Against,Against
SNP,Martin Docherty-Hughes,West Dunbartonshire,Remain,62,Abstain,For,For,For
Lab,Anneliese Dodds,Oxford East,Remain,68,For,For,For,For
DUP,Nigel Dodds,Belfast North,Remain,50,Against,Against,Against,Against
DUP,Sir Jeffrey M. Donaldson,Lagan Valley,Leave,53,Against,Against,Against,Against
Con,Michelle Donelan,Chippenham,Leave,52,Against,Against,Against,Against
Con,Nadine Dorries,Mid Bedfordshire,Leave,53,Against,Against,Against,Against
Con,Steve Double,St Austell and Newquay,Leave,64,Against,Against,Against,Against
Lab,Stephen Doughty,Cardiff South and Penarth,Remain,57,For,For,Abstain,For
Lab,Peter Dowd,Bootle,Leave,55,For,For,For,Abstain
Con,Oliver Dowden,Hertsmere,Leave,51,Against,Against,Against,Against
Con,Jackie Doyle-Price,Thurrock,Leave,70,Against,Against,Against,Against
Con,Richard Drax,South Dorset,Leave,59,Against,Against,Against,Against
Lab,David Drew,Stroud,Remain,54,For,For,For,For
Lab,Jack Dromey,Birmingham - Erdington,Leave,63,For,For,For,Abstain
Con,James Duddridge,Rochford and Southend East,Leave,61,Against,Against,Against,Against
Lab,Rosie Duffield,Canterbury,Remain,55,For,For,Abstain,For
Con,David Duguid,Banff and Buchan,Leave,54,Against,Against,Against,Against
Con,Sir Alan Duncan,Rutland and Melton,Leave,54,For,Against,Abstain,Against
Con,Iain Duncan Smith,Chingford and Woodford Green,Remain,50,Against,Against,Against,Against
Con,Philip Dunne,Ludlow,Leave,58,Against,Against,Against,Against
Lab,Angela Eagle,Wallasey,Remain,50,For,For,For,For
Lab,Maria Eagle,Garston and Halewood,Remain,52,For,For,For,For
PC,Jonathan Edwards,Carmarthen East and Dinefwr,Leave,53,Abstain,For,For,For
Lab,Clive Efford,Eltham,Leave,52,For,For,For,For
